P0_id',P1_a_Idade',P1_a_1_Faixa_idade',P1_b_Genero',P1_c_Cor/raca/etnia',P1_d_PCD',P1_e_experiencia_profissional_prejudicada',P1_e_1_Não_acredito_que_minha_experiência_profissional_seja_afetada',P1_e_2_Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia',P1_e_3_Experiencia_prejudicada_devido_a_minha_identidade_de_gênero',P1_e_4_Experiencia_prejudicada_devido_ao_fato_de_ser_PCD',P1_f_aspectos_prejudicados',P1_f_1_Quantidade_de_oportunidades_de_emprego/vagas_recebidas',P1_f_2_Senioridade_das_vagas_recebidas_em_relação_à_sua_experiência',P1_f_3_Aprovação_em_processos_seletivos/entrevistas',P1_f_4_Oportunidades_de_progressão_de_carreira',P1_f_5_Velocidade_de_progressão_de_carreira',P1_f_6_Nível_de_cobrança_no_trabalho/Stress_no_trabalho',P1_f_7_Atenção_dada_diante_das_minhas_opiniões_e_ideias',"P1_f_8_Relação_com_outros_membros_da_empresa,_em_momentos_de_trabalho'","P1_f_9_Relação_com_outros_membros_da_empresa,_em_momentos_de_integração_e_outros_momentos_fora_do_trabalho'",P1_g_vive_no_brasil',P1_i_Estado_onde_mora',P1_i_1_uf_onde_mora',P1_i_2_Regiao_onde_mora',P1_j_Mudou_de_Estado?',P1_k_Regiao_de_origem',P1_l_Nivel_de_Ensino',P1_m_Área_de_Formação'
7kavtdwzv1i6eu4fmft7kavtftceu4g2,26,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,Ceará (CE),CE,Nordeste,1.0,,Estudante de Graduação,Outras Engenharias
7kcciyi7qfjp9ms7kcc5ug8f3o8xx5uv,41,40-44,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,0.0,São Paulo (SP),Pós-graduação,Outras Engenharias
7kxr0j19ajhvh6gjx7kxr057q5134el9,24,22-24,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Mestrado,Outras Engenharias
7kzum053rohfi7kug7duvt3avqonmtxj,37,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Não tenho graduação formal,
7kzzjwt68vmn2oabvkfal7kzzjwl4wvv,28,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7kzzqw39zsgnw47ag7kzzqw0pcx0llsp,27,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
7l1trmi5e4fze8nc8nfzyx7l1trmirgl,32,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7lzf69hcv874whpafg57lzf691e4kizv,48,45-49,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Ciências Sociais
7m698ejn3rzv1jc7m698f3uop8wxsb0v,25,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
7micxwxidr98f7mjl3u0urr5u3wehtua,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7mon62nohxw64404diqy7mon3srbtq2q,29,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Mato Grosso do Sul (MS),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7n2a401t3vrrqkri3iwbs7n2a40jj37g,36,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Distrito Federal (DF),Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios
7n760cfmab3c447f7nm5ac2s9w7nptqj,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Outras Engenharias
7nf2w3vvt3chy9q7nfb9p1ktukrkrc95,54,50-54,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Rio Grande do Norte (RN),Mestrado,Outra opção
7o6wx3yrj5js5bk0d7o6wx353ktv822d,37,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Paraná (PR),PR,Sul,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7odcikpe6zzegk7ods6o27iw0ypph61s,33,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7ok1a9p0rhxx6gkwv0evk7ok1a9orgcp,35,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7okntv0ue50f6lc47okntwecfjgqthi9,52,50-54,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Pernambuco (PE),PE,Nordeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
7oravp3iya6j2bg77oravp89s1qbtdx4,45,45-49,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Bahia (BA),BA,Nordeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
7owhywl14p8rg0ayobk7owhyv5710xk3,26,25-29,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Química / Física
7pcgz4jolr55g7pcgz112e1quww4egss,29,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Graduação/Bacharelado,Outras Engenharias
7phxn9km7uhk16dn7phxe62l61001p6g,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Ceará (CE),CE,Nordeste,1.0,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
7prn2s0lnxkuhvb4pt97prn2seuf0wbg,28,25-29,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7q6n1fhbmq4wmo7q6nkok5ocisa6au87,40,40-44,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Rio de Janeiro (RJ),RJ,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7qar643fmzpalraco7qar6487e6av7p5,35,35-39,Masculino,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Pará (PA),Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7qbivblzysiv4zuq7qgpt5bqy3dsncvr,28,25-29,Masculino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Bahia (BA),BA,Nordeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
7qnz7u5pwdrryqn7qnz6umzqg56vlr0v,33,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Goiás (GO),GO,Centro-oeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7qut4wgkbe65qhdd7qutbjpov3k6s27j,34,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Pernambuco (PE),PE,Nordeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7qvd3b4qpntt6q97qvdbkv6vvojoj12u,35,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
7r9xq4kre9d0mi8xnrj7r9xq435drbrc,32,30-34,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Nível de cobrança no trabalho / Stress no trabalho,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,São Paulo (SP),SP,Sudeste,0.0,Ceará (CE),Pós-graduação,Outra opção
7rerws1dgppq42sfppnx7rerwsr32woj,30,30-34,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Outra opção
7rhlplw0kudv4joj7rhlplvl61t7o51n,30,30-34,Masculino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Paraná (PR),PR,Sul,1.0,,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios
7rk2axc7kh0q3artjgcer7rk28kxco00,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7ruy18vlpqew57rag3vk6c3g7e52myag,24,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7sqfkcnm47at9n7spwm05x95m9gqy2pp,29,25-29,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
7sz2yjbbuur19jbk4i7sz2yj39t9mtip,30,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Mestrado,Outras Engenharias
7tcy3z7lblduzszctq7tcy3ii3oi6ocg,27,25-29,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Pernambuco (PE),PE,Nordeste,1.0,,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
7tdftt9hna013w4avpnw4r7tdt5gy2jv,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Espírito Santo (ES),ES,Sudeste,1.0,,Graduação/Bacharelado,Outras Engenharias
7tdz9kcsuufdzpb9apu7tdz9kc1avtc0,22,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Estudante de Graduação,Outras Engenharias
7temu8xuugdida27tqc9r2z29tdn19sl,35,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Minas Gerais (MG),Mestrado,Outras Engenharias
7to5v01sxg3p7t7khg38jhhgik8ui8b2,40,40-44,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Goiás (GO),GO,Centro-oeste,0.0,Rio de Janeiro (RJ),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
7u1uivdjv87uclvwue7u1uij9sk1y45g,49,45-49,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7u6opkj2tb1vg6euk7u6op5scfztmokx,31,30-34,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Mestrado,Química / Física
7u9yh2zuuekc0b96plocf7u9yh23mfq7,34,30-34,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Relação com outros membros da empresa, em momentos de trabalho, Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira",1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,Rio Grande do Sul (RS),RS,Sul,0.0,Pará (PA),Pós-graduação,Outras Engenharias
7ukz045eq0nue9phh07ukzjzt51pfiay,27,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7ul07ijf4bfpvlnm7ul0a2r9ju3xg29h,30,30-34,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,Paraná (PR),PR,Sul,1.0,,Pós-graduação,Outras Engenharias
7vipyjms40swskc27vipyj0ztuvwzobv,38,35-39,Masculino,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Paraná (PR),PR,Sul,1.0,,Mestrado,Outras Engenharias
7w246fgd5svtzu8s7w2468alncanjap7,27,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Ciências Sociais
7wih0e8oa2wb0eakpeyge67wih0ecwk2,27,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Senioridade das vagas recebidas em relação à sua experiência,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7wyylahlrvikuxny37wyys0mpfsaf4na,31,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
7xsyrdzdxicxxqefohzc7xsyr45pskp0,47,45-49,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Bahia (BA),BA,Nordeste,0.0,Rio de Janeiro (RJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7xu0gtel1zyeku1ng9xb7xu0gyylcjdu,24,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Norte (RN),RN,Nordeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7xwcsakuw23bocjms7xwcsajv0p9mwmz,25,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Mestrado,Outras Engenharias
7y4kcydwxr3xat3za7y4np039xg2h9hb,38,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Pernambuco (PE),PE,Nordeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
7ykh1b3t4fj9nw7ykh1hfnfqx34yev6l,26,25-29,Masculino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Outras Engenharias
7z404uzov9no6yhpwtynb57za2wddvkh,30,30-34,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
7zl88zi69jh47a1qt717zl80qmmm0eug,36,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo
7zsbr6cm2u9yhax6b7zsbr88fq7vk4h5,37,35-39,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
7zvo3yu4d2y7c3lpas7zvo4ecuxnlbqo,35,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
801tg58zink9hfosqee801tg58k7unee,36,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Outra opção
809ps5jhorxky9x8809pom8csvcy13k2,46,45-49,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Pós-graduação,Outras Engenharias
80ag6wnffv997c7180a605x6glkdowm5,42,40-44,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio de Janeiro (RJ),RJ,Sudeste,0.0,Rio Grande do Sul (RS),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
80bcoj15cnbmduc5jdi80bcojtcfolak,36,35-39,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,,,,,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
80kptwjf7gzpflsu26580kptzo4p8mse,32,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Graduação/Bacharelado,Outra opção
80tjljonr9y42cm80tjdjioln0rihupo,44,40-44,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
812b2m7j91d3n1sz3812xvvdw856dfak,36,35-39,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
814dgiu8xgw5rm814d4quukz0uxhiu4g,27,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
81cjupq7e1nbx8ujln881ccql85fp06b,34,30-34,Feminino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
81gq6c5cs64u07iv4o81gq6cmkvli6ub,20,17-21,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Santa Catarina (SC),SC,Sul,1.0,,Não tenho graduação formal,
824dzmbuef6x92ed824d430vb2op9850,28,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Minas Gerais (MG),Graduação/Bacharelado,Outras Engenharias
829bc30zicap992r829bc3irbw0x4a47,32,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Paraná (PR),PR,Sul,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
82dm6qgzxrws2mnt0ow82dm65if5rduy,27,25-29,Feminino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Quantidade de oportunidades de emprego/vagas recebidas",1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,Minas Gerais (MG),MG,Sudeste,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
82s1sgcp879uq9kw9sml82s1s4nh08h6,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Minas Gerais (MG),MG,Sudeste,1.0,,Pós-graduação,Outras Engenharias
82x14irbv4t5rbivlkez82x18e5at55f,24,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Graduação/Bacharelado,Outras Engenharias
831oyv7ia6viiyu831oyoc0sd08ncaq3,46,45-49,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Oportunidades de progressão de carreira, Relação com outros membros da empresa, em momentos de trabalho",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,Minas Gerais (MG),MG,Sudeste,1.0,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
83669yvj0kipme2yleq053ad5r83669y,32,30-34,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,1.0,1.0,0.0,"Atenção dada pelas pessoas diante das minhas opiniões e ideias, Nível de cobrança no trabalho / Stress no trabalho",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde
83t9ju2bjwivmt2iegkjx83t9ju2b2vm,22,22-24,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Paraíba (PB),PB,Nordeste,1.0,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais
84vl92w6ln4omfyl84vplxa1ilotbvrh,26,25-29,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Outras Engenharias
84yn48gu7dwx86389a7h3z84yn48pbjv,41,40-44,Feminino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,,,,,,,,,,,1,Rio Grande do Sul (RS),RS,Sul,1.0,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
852a8f89myegqz7mdu8f3vc852a8f892,26,25-29,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
855jzyfbkqnbp6b9do1855jzy6ix46tz,22,22-24,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Estudante de Graduação,Outras Engenharias
85aarq79na5a08cvrye85aarqcc5trqv,40,40-44,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,0.0,Minas Gerais (MG),Mestrado,Outras Engenharias
85nqm3tbhg3h0z3ddh85nqm3kmm5hgbw,36,35-39,Masculino,Branca,Não,,,,,,,,,,,,,,,,1,São Paulo (SP),SP,Sudeste,1.0,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
867xw5igla3p5zlmb867x1lb9j72r1lu,31,30-34,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,Minas Gerais (MG),MG,Sudeste,0.0,Minas Gerais (MG),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
